Stop ID #,Stop Abbreviation,Stop Location,Out/In,,Lat,Long,Shelter? Y/N,Type LNI/Wood,Small sign (ID),CHK Panel,MTD sign,# of Benches,Bench Type,Trashcan,# of cans,Trashcan Type,ADA,Notes,Pole,Link
462,LillColO,Lillie & Colville,Outbound,,34.42141,-119.598879,no,,yes,No,yes,1,Green Wabash,Yes,1,Green Wabash,Yes,,Powder Coated Pole - Green,"https://www.google.com/maps/place/Lillie+%26+Colville/@34.4213497,-119.5988593,3a,75y,17.12h,83.1t/data=!3m7!1e1!3m5!1sutUjJRVc5C72MXhz_u1ifw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DutUjJRVc5C72MXhz_u1ifw%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D356.08255%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m7!3m6!1s0x80e90df9e934c1c5:0xdc09102ab3c884b6!8m2!3d34.42141!4d-119.598879!10e5!16s%2Fg%2F1tdx900m?entry=ttu"
463,GutiNopO,Gutierrez & Nopal,Outbound,,34.424231,-119.68538,no,,yes,No,Yes,1,Wooden,no,0,,Yes,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Gutierrez+%26+Nopal/@34.4242057,-119.6853402,3a,19.5y,254.35h,82.34t/data=!3m7!1e1!3m5!1scJpsVuGAZjE_VuUycuQbbA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DcJpsVuGAZjE_VuUycuQbbA%26cb_client%3Dsearch.gws-prod.gps%26w%3D86%26h%3D86%26yaw%3D307.555%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m7!3m6!1s0x80e91384af4a8e71:0x64cd68357b65dc7b!8m2!3d34.424231!4d-119.68538!10e5!16s%2Fg%2F1thghbk1?entry=ttu"
464,GutiSalO,Gutierrez & Salsipuedes,Outbound,,34.422027,-119.687734,no,,yes,No,Yes,1,Wooden,Yes,1,Concrete,Yes,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Gutierrez+%26+Salsipuedes/@34.4220657,-119.6876272,3a,15.4y,245.32h,85.83t/data=!3m6!1e1!3m4!1s48s7Lu8MH9yHE6DLO-9vtA!2e0!7i16384!8i8192!4m7!3m6!1s0x80e91384578b51f1:0xebf3270b4f1f3873!8m2!3d34.422027!4d-119.687734!10e5!16s%2Fg%2F1tf3bvtt?entry=ttu"
465,GutiLagO,Gutierrez & Laguna,Outbound,,34.419972,-119.68993,no,,yes,No,Yes,1,Concrete,Yes,1,Green Wabash,Yes,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Gutierrez+at+Laguna/@34.4198607,-119.6899781,3a,75y,293.59h,83.9t/data=!3m6!1e1!3m4!1sD7xSGKP85zkfMgESYXxY7A!2e0!7i16384!8i8192!4m7!3m6!1s0x80e91385dba773f7:0xfdcaa61702628fbf!8m2!3d34.419972!4d-119.68993!10e5!16s%2Fg%2F11b6ym__9t?entry=ttu"
466,GutiSBO,Gutierrez & Santa Barbara,Outbound,,34.418458,-119.69155,no,,yes,No,Yes,1,Concrete,Yes,1,Concrete,Yes,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Gutierrez+%26+Santa+Barbara/@34.4184579,-119.691482,3a,20.9y,247.72h,82.47t/data=!3m6!1e1!3m4!1sV5_lHL3mglyWtbaeRsXNjA!2e0!7i16384!8i8192!4m11!1m2!2m1!1sGutierrez+%26+Santa+Barbara!3m7!1s0x80e913861a026555:0x8aeb9c41f61ad9a7!8m2!3d34.418458!4d-119.69155!10e5!15sChlHdXRpZXJyZXogJiBTYW50YSBCYXJiYXJhkgEIYnVzX3N0b3DgAQA!16s%2Fg%2F11b6yhsp8s?entry=ttu"
467,GutiStaO,Gutierrez & State,Outbound,,34.415358,-119.69487,no,,yes,No,yes,no,,no,0,,Yes,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Gutierrez+%26+State/@34.4153818,-119.6947376,3a,43y,288.66h,83.48t/data=!3m6!1e1!3m4!1sal3XUgXEDvddJu8J52wymw!2e0!7i16384!8i8192!4m7!3m6!1s0x80e9138838b040e1:0x4bbda0e787de48dd!8m2!3d34.415358!4d-119.69487!10e5!16s%2Fg%2F11b6y8kh9k?entry=ttu"
468,AnacOrtN,Anacapa & Ortega,Inbound,,34.419463,-119.696654,Yes,concrete,yes,No,yes,1,Concrete,yes,1,City Can (Dome),Yes,,Powder Coated Pole - Green,"https://www.google.com/maps/place/Anacapa+%26+Ortega/@34.4195259,-119.6966001,3a,48.9y,200.07h,88.91t/data=!3m6!1e1!3m4!1sb51iUpRvZLTvj5AYlyVd3g!2e0!7i16384!8i8192!4m7!3m6!1s0x80e914788364c9bb:0x77b823d115e8c8c6!8m2!3d34.419463!4d-119.696654!10e5!16s%2Fg%2F1td6yf5h?entry=ttu"
469,ColuDeNO,Colusa & Del Norte,Outbound,,34.435686,-119.872737,No,,yes,No,yes,no,,no,0,,No,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Colusa+%26+Del+Norte/@34.4358086,-119.872703,3a,35.3y,197.57h,86.93t/data=!3m7!1e1!3m5!1sLJ_vkAyd3r86EkfwNcvpcA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DLJ_vkAyd3r86EkfwNcvpcA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D189.78616%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!4m10!1m2!2m1!1sColusa+%26+Del+Norte!3m6!1s0x80e940b7280cd22d:0x901672938c709de5!8m2!3d34.435686!4d-119.872737!10e5!16s%2Fg%2F1tg81s9n?entry=ttu"
470,DeNoMenO,Del Norte & Mendocino,Outbound,,34.436497,-119.87659,No,,yes,No,yes,1,Concrete,no,0,,Yes,,Street lamp,"https://www.google.com/maps/place/Del+Norte+%26+Mendocino/@34.4364201,-119.8767239,3a,15.7y,52.2h,85.7t/data=!3m6!1e1!3m4!1sQvJjltDDitYBsqQoDdxq2A!2e0!7i16384!8i8192!4m7!3m6!1s0x80e940b4325aacbf:0x4cd9058dd100d834!8m2!3d34.436497!4d-119.87659!10e5!16s%2Fg%2F1td5rlbl?entry=ttu"
471,PlacPadO,Placer & Padova,Outbound,,34.437068,-119.883446,No,,yes,No,yes,no,,no,0,,No,,Galvinized Pole - Silver,"https://www.google.com/maps/place/Placer+%26+Padova/@34.4368956,-119.8834256,3a,46.5y,217.59h,82.4t/data=!3m6!1e1!3m4!1seoC6ncwBiFEXeHmaFghpGg!2e0!7i16384!8i8192!4m7!3m6!1s0x80e9474a9c6545e3:0x5871a69899b6db48!8m2!3d34.436998!4d-119.883539!10e5!16s%2Fg%2F1v46_nwx?entry=ttu"
