objectid,ID,ST_NAME,SPAN_OPS,HRS_BEGIN,HRS_END,REDLANE,TAXI,HOURS,STATUS,DAYTYPE_WD,DAYTYPE_WE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,FROM_ST,TO_ST,CORRIDOR,DIRECTION,LAYOUT,DAY_TYPE,IMPLEMENT,MUNI_ROUTE,BUSORTRAIN,MTAB_DATE,MTAB_MOTION,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district
654,,Bush St,Part Time,600,1000,Non-red,taxi allowed,6AM - 10AM M-F,Future TETL corridor,weekdays,,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:48:01.000000000-07:00,Montgomery,Sansome,,Eastbound,,Weekdays,2014-12-31T16:00:00.000000000-08:00,,,2015-04-06T17:00:00.000000000-07:00,,"LINESTRING (-122.402394404 37.790982437, -122.400744597 37.791183609)",03/25/2021 11:48:01 AM,01/18/2024 03:36:28 PM,Financial District/South Beach,3
662,,Van Ness Ave,24 Hours,0,2400,Non-red,no,24 hours everyday,Future TETL corridor,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T11:48:51.000000000-07:00,Filbert St,Lombard St,,Southbound,,All Days,,,,,15-131,"LINESTRING (-122.424553344 37.801303475, -122.424513007 37.801177519, -122.424484463 37.801043045, -122.424446983 37.800861327, -122.424410862 37.800679012, -122.424385025 37.800543122, -122.4243834 37.800534457, -122.424378359 37.800507566, -122.424376769 37.800499093, -122.424371608 37.800468835, -122.424367962 37.800450158, -122.424358668 37.800415028, -122.424373476 37.800413147, -122.424369055 37.800378698, -122.42436602 37.8003604, -122.42435792 37.800331871, -122.424356197 37.800324285, -122.424350171 37.800297195, -122.424348293 37.800288435, -122.424317732 37.800143349, -122.424278318 37.799951465, -122.424240021 37.799759012, -122.424211935 37.799612543, -122.424210287 37.799603817, -122.424205191 37.799576736, -122.424203767 37.799567584, -122.424200072 37.7995379, -122.424195576 37.79951955, -122.424185583 37.799484287)",03/25/2021 11:48:51 AM,01/18/2024 03:36:28 PM,"Marina, Russian Hill",3
679,,Stockton St,24 Hours,0,2400,Non-red,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Geary,Market,,Both,,All Days,1995-12-31T16:00:00.000000000-08:00,,,,,"LINESTRING (-122.406614686 37.787544303, -122.406182551 37.785532561)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,Financial District/South Beach,"3, 6"
671,,Mission St,24 Hours,0,2400,red lane,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Duboce,Cesar Chavez Ave,,Southbound,,All Days,,,,,15-172,"LINESTRING (-122.42000832 37.770111449, -122.420023818 37.770109542, -122.42005426 37.770005316, -122.420076456 37.769929316, -122.420084597 37.76965163, -122.420073898 37.76905185, -122.420052087 37.768983624, -122.419981512 37.768273654, -122.419825234 37.766673601, -122.419668972 37.765051337, -122.419512736 37.763429273, -122.419494862 37.763243698, -122.419476287 37.76305084, -122.419443736 37.762712867, -122.419359267 37.761835855, -122.419206043 37.760235355, -122.419162496 37.759780485, -122.419052607 37.758632566, -122.419011533 37.758199786, -122.418901029 37.757035402, -122.418747574 37.755436936, -122.418738403 37.755341406, -122.418747574 37.755436936, -122.418593945 37.753836588, -122.418445271 37.752239454, -122.41828787 37.750639651, -122.418135251 37.749041287, -122.418093628 37.74860536, -122.418096638 37.74847832, -122.418221171 37.748165689, -122.418221198 37.748165646, -122.418236179 37.748165445)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,"Bernal Heights, Mission","6, 9"
1295,,,,,,,,,Implemented TETL Corridor,,,EKNOPF,2021-03-25T13:30:35.000000000-07:00,EKNOPF,2021-03-25T13:34:08.000000000-07:00,,,,,,,,,,,,"LINESTRING (-122.394031526 37.776326286, -122.393234803 37.775698505, -122.391598923 37.774300571)",03/25/2021 01:34:08 PM,01/18/2024 03:36:28 PM,Mission Bay,6
680,0,Market,24 Hours,0,2400,red lane,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,12th St,Van Ness Ave,,Eastbound,,All Days,1995-12-31T16:00:00.000000000-08:00,,,,15-096,"LINESTRING (-122.420252628 37.774364222, -122.420254288 37.774358622, -122.420148979 37.774378004, -122.419279377 37.775066572, -122.419255615 37.775147023)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,"Hayes Valley, Mission",6
697,0,1st Street,24 Hours,0,2400,red lane,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T10:53:08.000000000-07:00,Market St,Howard St,,Both,,All Days,1973-12-05T16:00:00.000000000-08:00,,,,,"LINESTRING (-122.399151801 37.791005455, -122.399148608 37.791016598, -122.39858952 37.790571174, -122.398159701 37.790228743, -122.397938581 37.790052616, -122.397574476 37.789762547, -122.397269847 37.789519855, -122.397034804 37.7893326, -122.396799364 37.789145027, -122.396570775 37.788962912, -122.396041208 37.788541005)",03/25/2021 10:53:08 AM,01/18/2024 03:36:28 PM,Financial District/South Beach,6
656,,Mission St,24 Hours,0,2400,Non-red,taxi allowed,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T15:13:24.000000000-07:00,11th St,South Van Ness Ave,,Westbound,,All Days,2017-09-30T17:00:00.000000000-07:00,,,,15-172,"LINESTRING (-122.417107288 37.774328131, -122.418618217 37.773053454)",03/25/2021 03:13:24 PM,01/18/2024 03:36:28 PM,"Mission, South of Market",6
692,0,Duboce Ave,24 Hours,0,2400,Non-red,no,24 hours everyday,Existing permanent transit lanes,weekdays,weekends,MTA,2020-06-11T17:10:48.000000000-07:00,EKNOPF,2021-03-25T13:19:38.000000000-07:00,Fillmore St,Church St,,Both,,All Days,2008-12-31T16:00:00.000000000-08:00,,,,,"LINESTRING (-122.429176792 37.769456825, -122.429911223 37.769407975)",03/25/2021 01:19:38 PM,01/18/2024 03:36:28 PM,Hayes Valley,8
1290,,TETL,,,,,,,Implemented TETL Corridor,,,EKNOPF,2021-03-25T13:23:27.000000000-07:00,EKNOPF,2021-03-25T13:23:27.000000000-07:00,,,TETL,,,,,,,,,"LINESTRING (-122.476091747 37.78049002, -122.475141916 37.780533095)",03/25/2021 01:23:27 PM,01/18/2024 03:36:28 PM,Outer Richmond,1
