objectid,CNN,STREET1,STREET2,DETECTION,STREET3,SUP_DIST,STREET4,SIG_NUM,TYPE,IC_MAKE,MODEL,CABINET_SI,SYSTEM_NUM,MASTER,BBS,VEH_ACTUAT,PED_SIGNAL,PED_ACTUAT,TBC,INTERCONNE,PREEMPT_PR,D_ATE2070,PROJECT_NE,PROJECT_OL,UPGRADED,YR_OF_CONT,LAST_UPGRA,NEW_SIGNAL,MOD_PROJEC,FULL_UPGRA,BEACON_FLA,FUNDING,RLCAM,STARTYEAR,CALTRANS_R,CALTRANS,PERCENT_C,SF,PERCENT_SF,PERCENT_PO,LAMP_ASSGN,LAMP_SORT,SORT_ME,APS,shape,data_as_of,data_loaded_at,analysis_neighborhood,supervisor_district,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
13658,23606000,HARRISON,SPEAR,,,6,,9424500,SIGNAL,EAGLE,2070-TS2-1,G,74,,,,ALL,,GPS,,,,,PCS2010 BATCH 1,MOD AFTER NEW DONE,,1996,DONE,DONE,,,FED/SALES TAX,,1996,,,0,,0,0,39,,,PENDING,POINT (-122.389428942 37.78883778),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,Financial District/South Beach,6,30,30,1,10,8
14041,24168000,16TH ST,CAPP,OPTICOM,,9,,9084300,SIGNAL,MCCAIN,2070-TS2-1,MSF,64,,,,ALL,,GPS,PROXIM,FIRE PREEMPT,,,CT 61,NEW DONE,,2014,DONE,NONE,NONE,NONE,,,2014,,,0,,0,0,53,,,APS 4WIRE CT61 (8),POINT (-122.418698426 37.765109955),04/26/2023 03:25:40 PM,04/26/2023 03:25:40 PM,Mission,9,53,53,3,2,20
13887,23126000,LAKE MERCED,MIDDLEFIELD,,,4.7,,9456500,SIGNAL,MCCAIN,2070-TS2-1,MSF,ISOLATED,,,WIRELESS&LOOPS,ALL,YES,GPS,,,,,CT 51,NEW DONE,,1999,,,,,SALES TAX,,1999,,,0,,0,0,44,,,APS ENAV 2WIRE (5),POINT (-122.486552072 37.729585011),04/26/2023 03:25:40 PM,04/26/2023 03:25:40 PM,Sunset/Parkside,4,43,43,10,8,35
13443,24377000,15TH ST,VALENCIA,,,9,,9083000,SIGNAL,MCCAIN,2070-TS2-1,G,22,,,,ALL,,GPS,,,,,VALENCIA,FULL DONE,,1995,NONE,NONE,DONE,NONE,SALES TAX,,1967,,,0,,0,0,79,,,,POINT (-122.422043813 37.766539576),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,Mission,9,53,53,3,2,20
13429,24171000,15TH ST,MISSION,OPTICOM,,9,,9081500,SIGNAL,MCCAIN,2070-TS2-1,MSF,22,,,,ALL,,GPS,PROXIM,"TSP,FIRE PREEMPT",,,MID MISSION,FULL DONE,,2007,NONE,NONE,DONE,NONE,,,1953,,,0,,0,0,53,,,,POINT (-122.419825234 37.766673602),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,Mission,9,53,53,3,2,20
13920,5885000,BUCHANAN,FULTON,,,5,,9225000,PENDING BEACON - FLASHER,,,STD,FLASHER,,,,n.a.,,,,,,Western Addition Phase 1,,BEACON PENDING,,0,NONE,NONE,NONE,PENDING,,,1981,,,0,,0,0,30,,,,POINT (-122.428088518 37.778145952),04/26/2023 03:25:40 PM,04/26/2023 03:25:40 PM,Western Addition,5,97,97,4,11,39
14274,26250000,CLARENDON,PALO ALTO,,,7,,0,PENDING BEACON,,,,,,,,,,,,,,D7 ADD BACK,,BEACON PENDING,,0,NONE,NONE,NONE,PENDING,,,0,,,0,,0,0,,,,,POINT (-122.453769459 37.757467854),04/26/2023 03:25:40 PM,04/26/2023 03:25:40 PM,Inner Sunset,7,110,110,7,8,14
13207,25213000,FRANKLIN,GEARY,OPTICOM,,2,,9359000,SIGNAL,MCCAIN,2070-TS2-1,MSF,49,,,,ALL,,GPS,"FIBER,PROXIM","TSP,FIRE PREEMPT",,,CT 33,FULL DONE,04/14,2014,NONE,NONE,DONE,NONE,SALES TAX,,9999,,,0,,0,0,28,,,APS INAV 3WIRE CPMC (12),POINT (-122.423027553 37.785482244),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,Western Addition,2,100,100,4,11,39
12890,22223000,LEE,OCEAN,,,7.11,,9465500,SIGNAL,EAGLE,2070-TS2-1,MSF,31,,,,ALL,,GPS,,,,,OCEAN,FULL DONE,1/01,0,NONE,NONE,DONE,NONE,SALES TAX,,1986,,,0,,0,0,59,,,APS iNAV 3WIRE CITYWIDE NEW APS (9),POINT (-122.454115754 37.723457007),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,West of Twin Peaks,11,71,71,10,8,41
13602,26057000,DIVISADERO,FULTON,,,5,,9297500,SIGNAL,MCCAIN,2070-TS2-1,G,71,,,,PENDING,,GPS,,TSP-Planned,,Western Addition Phase 1,,FULL PENDING,,0,NONE,NONE,PENDING,NONE,,,1958,,,0,,0,0,30,,,PENDING,POINT (-122.438177048 37.776855889),04/26/2023 03:24:48 PM,04/26/2023 03:24:48 PM,Hayes Valley,5,,,4,11,9
