GEOID,NAME,ttl_jobs,ttl_population
6001436000,"Census Tract 4360, Alameda County, California",NA,5063
6001436100,"Census Tract 4361, Alameda County, California",NA,5977
6001436200,"Census Tract 4362, Alameda County, California",NA,4266
6001436300,"Census Tract 4363, Alameda County, California",NA,9444
6001436401,"Census Tract 4364.01, Alameda County, California",NA,7173
6001436402,"Census Tract 4364.02, Alameda County, California",NA,2704
6001436500,"Census Tract 4365, Alameda County, California",NA,5375
6001436601,"Census Tract 4366.01, Alameda County, California",NA,6938
6001436602,"Census Tract 4366.02, Alameda County, California",NA,5113
6001436700,"Census Tract 4367, Alameda County, California",NA,3265
6001436800,"Census Tract 4368, Alameda County, California",NA,4382
6001436900,"Census Tract 4369, Alameda County, California",NA,6745
6001437000,"Census Tract 4370, Alameda County, California",NA,3493
6001437101,"Census Tract 4371.01, Alameda County, California",NA,7867
6001437102,"Census Tract 4371.02, Alameda County, California",NA,4521
6001437200,"Census Tract 4372, Alameda County, California",NA,7489
6001437300,"Census Tract 4373, Alameda County, California",NA,3277
6001437400,"Census Tract 4374, Alameda County, California",NA,3485
6001437500,"Census Tract 4375, Alameda County, California",NA,4531
6001437600,"Census Tract 4376, Alameda County, California",NA,3536
6001437701,"Census Tract 4377.01, Alameda County, California",NA,3773
6001437702,"Census Tract 4377.02, Alameda County, California",NA,4295
6001437800,"Census Tract 4378, Alameda County, California",NA,4997
6001437900,"Census Tract 4379, Alameda County, California",NA,2321
6001438000,"Census Tract 4380, Alameda County, California",NA,3952
6001438100,"Census Tract 4381, Alameda County, California",NA,8307
6001438201,"Census Tract 4382.01, Alameda County, California",NA,5144
6001438203,"Census Tract 4382.03, Alameda County, California",NA,3888
6001438204,"Census Tract 4382.04, Alameda County, California",NA,5838
6001438300,"Census Tract 4383, Alameda County, California",NA,3767
6001438400,"Census Tract 4384, Alameda County, California",NA,2757
6001440100,"Census Tract 4401, Alameda County, California",NA,2799
6001440200,"Census Tract 4402, Alameda County, California",NA,6125
6001440301,"Census Tract 4403.01, Alameda County, California",NA,7596
6001440304,"Census Tract 4403.04, Alameda County, California",NA,5035
6001440305,"Census Tract 4403.05, Alameda County, California",NA,4190
6001440306,"Census Tract 4403.06, Alameda County, California",NA,4322
6001440307,"Census Tract 4403.07, Alameda County, California",NA,4748
6001440308,"Census Tract 4403.08, Alameda County, California",NA,6171
6001440331,"Census Tract 4403.31, Alameda County, California",NA,3276
6001440332,"Census Tract 4403.32, Alameda County, California",NA,3505
6001440333,"Census Tract 4403.33, Alameda County, California",NA,2982
6001440334,"Census Tract 4403.34, Alameda County, California",NA,4414
6001440335,"Census Tract 4403.35, Alameda County, California",NA,7051
6001440336,"Census Tract 4403.36, Alameda County, California",NA,4437
6001441100,"Census Tract 4411, Alameda County, California",NA,4625
6001441200,"Census Tract 4412, Alameda County, California",NA,7277
6001441301,"Census Tract 4413.01, Alameda County, California",NA,3301
6001441302,"Census Tract 4413.02, Alameda County, California",NA,5937
6001441401,"Census Tract 4414.01, Alameda County, California",NA,8082
6001441402,"Census Tract 4414.02, Alameda County, California",NA,5407
6001441501,"Census Tract 4415.01, Alameda County, California",NA,6546
6001441503,"Census Tract 4415.03, Alameda County, California",NA,8013
6001441521,"Census Tract 4415.21, Alameda County, California",NA,6175
6001441522,"Census Tract 4415.22, Alameda County, California",NA,5233
6001441523,"Census Tract 4415.23, Alameda County, California",NA,4418
6001441524,"Census Tract 4415.24, Alameda County, California",NA,4215
6001441601,"Census Tract 4416.01, Alameda County, California",NA,4982
6001441602,"Census Tract 4416.02, Alameda County, California",NA,8113
6001441700,"Census Tract 4417, Alameda County, California",NA,8527
6001441800,"Census Tract 4418, Alameda County, California",NA,7543
6001441921,"Census Tract 4419.21, Alameda County, California",NA,3909
6001441923,"Census Tract 4419.23, Alameda County, California",NA,6250
6001441924,"Census Tract 4419.24, Alameda County, California",NA,7481
6001441925,"Census Tract 4419.25, Alameda County, California",NA,7291
6001441926,"Census Tract 4419.26, Alameda County, California",NA,4595
6001441927,"Census Tract 4419.27, Alameda County, California",NA,4492
6001442000,"Census Tract 4420, Alameda County, California",NA,3419
6001442100,"Census Tract 4421, Alameda County, California",NA,5462
6001442200,"Census Tract 4422, Alameda County, California",NA,7473
6001442301,"Census Tract 4423.01, Alameda County, California",NA,5496
6001442302,"Census Tract 4423.02, Alameda County, California",NA,6366
6001442400,"Census Tract 4424, Alameda County, California",NA,6822
6001442500,"Census Tract 4425, Alameda County, California",NA,7374
6001442601,"Census Tract 4426.01, Alameda County, California",NA,4160
6001442602,"Census Tract 4426.02, Alameda County, California",NA,5059
6001442700,"Census Tract 4427, Alameda County, California",NA,3048
6001442800,"Census Tract 4428, Alameda County, California",NA,2952
6001442900,"Census Tract 4429, Alameda County, California",NA,7761
6001443001,"Census Tract 4430.01, Alameda County, California",NA,2891
6001443002,"Census Tract 4430.02, Alameda County, California",NA,6930
6001443102,"Census Tract 4431.02, Alameda County, California",NA,5065
6001443103,"Census Tract 4431.03, Alameda County, California",NA,4107
6001443104,"Census Tract 4431.04, Alameda County, California",NA,5620
6001443105,"Census Tract 4431.05, Alameda County, California",NA,4785
6001443200,"Census Tract 4432, Alameda County, California",NA,4053
6001443301,"Census Tract 4433.01, Alameda County, California",NA,4355
6001443321,"Census Tract 4433.21, Alameda County, California",NA,3368
6001443322,"Census Tract 4433.22, Alameda County, California",NA,3308
6001444100,"Census Tract 4441, Alameda County, California",NA,7556
6001444200,"Census Tract 4442, Alameda County, California",NA,7112
6001444301,"Census Tract 4443.01, Alameda County, California",NA,3973
6001444302,"Census Tract 4443.02, Alameda County, California",NA,5185
6001444400,"Census Tract 4444, Alameda County, California",NA,5477
6001444500,"Census Tract 4445, Alameda County, California",NA,7518
6001444601,"Census Tract 4446.01, Alameda County, California",NA,5787
6001444602,"Census Tract 4446.02, Alameda County, California",NA,4563
6001450101,"Census Tract 4501.01, Alameda County, California",NA,5750
6001450102,"Census Tract 4501.02, Alameda County, California",NA,5664
6001450200,"Census Tract 4502, Alameda County, California",NA,5244
6001450300,"Census Tract 4503, Alameda County, California",NA,5212
6001450400,"Census Tract 4504, Alameda County, California",NA,7286
6001450501,"Census Tract 4505.01, Alameda County, California",NA,3156
6001450502,"Census Tract 4505.02, Alameda County, California",NA,5490
6001450601,"Census Tract 4506.01, Alameda County, California",NA,3641
6001450602,"Census Tract 4506.02, Alameda County, California",NA,10265
6001450603,"Census Tract 4506.03, Alameda County, California",NA,5155
6001450604,"Census Tract 4506.04, Alameda County, California",NA,5505
6001450605,"Census Tract 4506.05, Alameda County, California",NA,3893
6001450606,"Census Tract 4506.06, Alameda County, California",NA,6254
6001450607,"Census Tract 4506.07, Alameda County, California",NA,5717
6001450701,"Census Tract 4507.01, Alameda County, California",NA,8596
6001450741,"Census Tract 4507.41, Alameda County, California",NA,5852
6001450742,"Census Tract 4507.42, Alameda County, California",NA,5436
6001450743,"Census Tract 4507.43, Alameda County, California",NA,6684
6001450744,"Census Tract 4507.44, Alameda County, California",NA,6273
6001450745,"Census Tract 4507.45, Alameda County, California",NA,6712
6001450746,"Census Tract 4507.46, Alameda County, California",NA,3525
6001450750,"Census Tract 4507.50, Alameda County, California",NA,5630
6001450751,"Census Tract 4507.51, Alameda County, California",NA,11119
6001450752,"Census Tract 4507.52, Alameda County, California",NA,7343
6001451101,"Census Tract 4511.01, Alameda County, California",NA,8692
6001451102,"Census Tract 4511.02, Alameda County, California",NA,4003
6001451201,"Census Tract 4512.01, Alameda County, California",NA,7695
6001451202,"Census Tract 4512.02, Alameda County, California",NA,5188
6001451300,"Census Tract 4513, Alameda County, California",NA,6903
6001451401,"Census Tract 4514.01, Alameda County, California",NA,6191
6001451403,"Census Tract 4514.03, Alameda County, California",NA,2308
6001451404,"Census Tract 4514.04, Alameda County, California",NA,7094
6001451501,"Census Tract 4515.01, Alameda County, California",NA,4693
6001451503,"Census Tract 4515.03, Alameda County, California",NA,6182
6001451504,"Census Tract 4515.04, Alameda County, California",NA,1709
6001451505,"Census Tract 4515.05, Alameda County, California",NA,3418
6001451506,"Census Tract 4515.06, Alameda County, California",NA,3385
6001451601,"Census Tract 4516.01, Alameda County, California",NA,5362
6001451602,"Census Tract 4516.02, Alameda County, California",NA,6809
6001451701,"Census Tract 4517.01, Alameda County, California",NA,3112
6001451703,"Census Tract 4517.03, Alameda County, California",NA,4080
6001451704,"Census Tract 4517.04, Alameda County, California",NA,4519
6001981900,"Census Tract 9819, Alameda County, California",NA,58
6001982000,"Census Tract 9820, Alameda County, California",NA,63
6001983200,"Census Tract 9832, Alameda County, California",NA,583
6001990000,"Census Tract 9900, Alameda County, California",NA,0
6003010000,"Census Tract 100, Alpine County, California",NA,1039
6005000101,"Census Tract 1.01, Amador County, California",NA,3908
6005000102,"Census Tract 1.02, Amador County, California",NA,1982
6005000200,"Census Tract 2, Amador County, California",NA,4748
6005000301,"Census Tract 3.01, Amador County, California",NA,5105
6005000303,"Census Tract 3.03, Amador County, California",NA,5623
6005000304,"Census Tract 3.04, Amador County, California",NA,4597
6005000401,"Census Tract 4.01, Amador County, California",NA,4675
6005000402,"Census Tract 4.02, Amador County, California",NA,4639
6005000500,"Census Tract 5, Amador County, California",NA,3152
6007000102,"Census Tract 1.02, Butte County, California",NA,4032
6007000103,"Census Tract 1.03, Butte County, California",NA,5393
6007000104,"Census Tract 1.04, Butte County, California",NA,5517
6007000201,"Census Tract 2.01, Butte County, California",NA,4075
6007000202,"Census Tract 2.02, Butte County, California",NA,3703
6007000300,"Census Tract 3, Butte County, California",NA,4764
6007000401,"Census Tract 4.01, Butte County, California",NA,4186
6007000402,"Census Tract 4.02, Butte County, California",NA,7973
6007000501,"Census Tract 5.01, Butte County, California",NA,4793
6007000502,"Census Tract 5.02, Butte County, California",NA,4402
6007000601,"Census Tract 6.01, Butte County, California",NA,3530
6007000603,"Census Tract 6.03, Butte County, California",NA,3681
6007000604,"Census Tract 6.04, Butte County, California",NA,4245
6007000700,"Census Tract 7, Butte County, California",NA,4626
