deviceSerialNumber,MODELID,Bus,PLACEID,LOCATIONNAME,SUBLOCATION,INSTALLDATE,DEINSTALLDATE,DEVICE_ID_HEX
6492166,DC CID1A,5016,SOL5016,SOL,NSL-SOL-TDS-001,7/6/2016 0:00,2/14/2017 8:00,631006
6492166,DC CID1A,5106,SOL5106,SOL,NSL-SOL-TDS-001,2/14/2017 8:00,9/1/2023 0:00,631006
6492174,DC CID1A,3906,SOL3906,SOL,NSL-SOL-TDS-001 ,9/17/2014 23:32,1/4/2018 18:17,63100E    
6492241,DC CID1A,5114,SOL5114,SOL,NSL-SOL-TDS-001,1/28/2019 20:44,9/1/2023 0:00,631051
6492272,DC CID1A  ,5110,SOL5110,SOL,NSL-SOL-TDS-001,3/29/2021 0:00,9/1/2023 0:00,631070
6492288,DC CID1A,5032,SOL5032,SOL,NSL-SOL-TDS-001 ,9/17/2014 22:29,3/20/2016 8:00,631080
6492356,DC CID1A,5018,SOL5018,SOL,NSL-SOL-TDS-001 ,9/18/2014 2:23,1/4/2018 8:00,0006310C4 
6492358,DC CID1A,3909,SOL3909,SOL,NSL-SOL-TDS-001 ,9/18/2014 5:14,9/1/2023 0:00,6310C6    
6492409,DC CID1A  ,5115,SOL5115,SOL,NSL-SOL-TDS-001,5/27/2021 0:00,9/1/2023 0:00,6310F9    
6492490,DC CID1A,3910,SOL3910,SOL,NSL-SOL-TDS-001,4/25/2014 20:05,10/17/2014 7:44,63114A    
6492530,DC CID1A,4417,SOL4417,SOL,NSL-SOL-TDS-001 ,9/18/2014 2:54,12/30/2015 8:00,631172
6492530,DC CID1A,3918,SOL3918,SOL,NSL-SOL-TDS-001,4/28/2016 0:00,7/28/2016 0:00,631172
6492575,DC CID1A,5023,SOL5023,SOL,NSL-SOL-TDS-001,7/11/2016 0:00,11/4/2016 8:00,63119f    
6492636,DC CID1A,4500,SOL4500,SOL,NSL-SOL-TDS-001,2/10/2017 1:21,9/1/2023 0:00,6311DC    
6492641,DC CID1A,3911,SOL3911,SOL,NSL-SOL-TDS-001 ,9/18/2014 5:07,9/1/2023 0:00,6.31E+04
6492665,DC CID1A,3904,SOL3904,SOL,NSL-SOL-TDS-001 ,9/17/2014 23:25,2/26/2021 0:00,6311F9    
6492670,DC CID1A,5034,SOL5034,SOL,NSL-SOL-TDS-001,5/9/2016 0:00,1/4/2018 18:17,6311fe    
6492670,DC CID1A,5018,SOL5034,SOL,NSL-SOL-TDS-001,1/4/2018 18:17,6/19/2019 8:00,6311fe    
6492670,DC CID1A,1902,SOL1902,SOL,NSL-SOL-TDS-001,8/29/2019 19:16,9/1/2023 0:00,632418
6496291,DC CID1A,3912,SOL3912,SOL,NSL-SOL-TDS-001,4/3/2014 22:55,10/16/2014 21:22,632023
6496292,DC CID1A,5026,SOL5026,SOL,NSL-SOL-TDS-001 ,12/4/2014 15:37,1/4/2018 18:17,632024
6496292,DC CID1A,5015,SOL5015,SOL,NSL-SOL-TDS-001,1/4/2018 18:17,1/29/2019 20:43,632024
6496292,DC CID1A,5115,SOL5115,SOL,NSL-SOL-TDS-001,1/29/2019 20:43,9/1/2023 0:00,632024
6496321,DC CID1A,3905,SOL3905,SOL,NSL-SOL-TDS-001 ,9/17/2014 23:29,9/1/2023 0:00,632041
6496344,DC CID1A,3919,SOL3919,SOL,NSL-SOL-TDS-001 ,9/18/2014 3:25,9/1/2023 0:00,632058
6496437,DC CID1A,4502,SOL4502,SOL,NSL-SOL-TDS-001,2/10/2020 1:39,9/1/2023 0:00,006320B5  
6496487,DC CID1A,3918,SOL3918,SOL,NSL-SOL-TDS-001 ,9/18/2014 3:28,4/28/2016 8:00,6.32E+10
6496487,DC-CID1A,4417,SOL4417,SOL,NSL-SOL-TDS-001,5/24/2016 0:00,3/27/2018 0:00,6.32E+10
6496488,DC CID1A  ,3909,SOL3909,SOL,NSL-SOL-TDS-001,7/2/2021 0:00,9/1/2023 0:00,6.32E+11
6496553,DC CID1A,3910,SOL3910,SOL,NSL-SOL-TDS-001,11/7/2016 0:00,9/1/2023 0:00,632129
6496571,DC CID1A,3910,SOL3910,SOL,NSL-SOL-TDS-001 ,9/18/2014 5:10,12/6/2016 8:00,63213B    
6496641,DC CID1A,4501,SOL4501,SOL,NSL-SOL-TDS-001,9/26/2019 0:00,9/1/2023 0:00,632181
6496661,DC CID1A  ,4503,SOL4503,SOL,NSL-SOL-TDS-001,6/11/2020 0:00,9/1/2023 0:00,632195
6496676,DC CID1A,3907,SOL3907,SOL,NSL-SOL-TDS-001 ,9/17/2014 23:39,9/1/2023 0:00,6321A4    
6496684,DC CID1A,3914,SOL3914,SOL,NSL-SOL-TDS-001,4/25/2014 20:17,10/17/2014 7:49,6321AC    
6496728,DC CID1A,4501,SOL4501,SOL,NSL-SOL-TDS-001,3/22/2017 19:29,9/26/2019 0:00,6321D8    
6496782,DC CID1A,5007,SOL5007,SOL,NSL-SOL-TDS-001 ,9/18/2014 2:51,6/15/2019 0:00,63220E    
6496782,DC CID1A,5116,SOL5116,SOL,NSL-SOL-TDS-001,7/20/2019 0:00,9/1/2023 0:00,63220E    
6496797,DC CID1A,5008,SOL5008,SOL,NSL-SOL-TDS-001 ,9/18/2014 2:48,2/11/2017 8:00,63221D    
6496797,DC CID1A,5104,SOL5104,SOL,NSL-SOL-TDS-001,2/11/2017 8:00,9/1/2023 0:00,63221D    
6496903,DC CID1A,5058,SOL5058,SOL,NSL-SOL-TDS-001,8/11/2022 0:00,3/25/2023 8:00,632287
6496960,DC CID1A,3917,SOL3917,SOL,NSL-SOL-TDS-001 ,10/29/2014 6:03,12/18/2015 8:00,6322C0    
6497070,DC CID1A,5053,SOL5053,SOL,NSL-SOL-TDS-001,3/23/2022 23:38,9/1/2023 0:00,63232E    
6497105,DC CID1A,3908,SOL3908,SOL,NSL-SOL-TDS-001,11/16/2016 0:00,9/1/2023 0:00,632351
6497116,DC CID1A,3903,SOL3903,SOL,NSL-SOL-TDS-001,5/30/2015 0:00,9/12/2015 8:00,63235C    
6497142,DC CID1A,5021,SOL5021,SOL,NSL-SOL-TDS-001,5/2/2014 21:46,10/22/2014 5:40,632376
6497156,DC CID1A,5029,SOL5029,SOL,NSL-SOL-TDS-001 ,9/17/2014 22:36,10/1/2018 1:00,632384
6497156,DC CID1A,5102,SOL5102,SOL,NSL-SOL-TDS-001,10/1/2018 1:00,9/1/2023 0:00,632384
