"dt_pacific","hour_pacific","Max","Average"
2024-06-13,10:17:40,314267,8113.45500848896
2024-06-13,10:18:00,314287,7331.37423312883
2024-06-13,10:18:20,314307,8284.35701906412
2024-06-13,10:18:40,314327,8196.1269296741
2024-06-13,10:19:00,314347,7746.07131280389
2024-06-13,10:19:20,314367,7665.15544871795
2024-06-13,10:19:40,314387,7451.23520249221
2024-06-13,10:20:00,314407,7157.70938897169
2024-06-13,10:20:20,314427,7872.96065573771
2024-06-13,10:20:40,314447,7111
2024-06-13,10:21:00,314467,8812.4889298893
2024-06-13,10:21:20,314487,7847.70771756979
2024-06-13,10:21:40,314507,7600.18918918919
2024-06-13,10:22:00,314527,7565.97600000001
2024-06-13,10:22:20,314547,7132.41327300151
2024-06-13,10:22:40,314567,7985.76182432433
2024-06-13,10:23:00,314587,8532.08258527828
2024-06-13,10:23:20,314607,7735.13008130081
2024-06-13,10:23:40,314627,8745.91559633026
2024-06-13,10:24:00,314647,8207.63148788927
2024-06-13,10:24:20,314667,7834.34323432344
2024-06-13,10:24:40,314687,7749.03764320786
2024-06-13,10:25:00,314707,7203.55219364599
2024-06-13,10:25:20,314727,7885.57947019867
2024-06-13,10:25:40,314747,7897.61028192371
2024-06-13,10:26:00,314767,7823.27768595042
2024-06-13,10:26:20,314787,7535.49681528663
2024-06-13,10:26:40,314807,7148.40634441088
2024-06-13,10:27:00,314827,8123.16753022451
2024-06-13,10:27:20,314847,7570.04501607717
2024-06-13,10:27:40,314867,7605.06138933764
2024-06-13,10:28:00,314887,7438.1990521327
2024-06-13,10:28:20,314907,7588.09822866345
2024-06-13,10:28:40,314927,7171.47336377474
2024-06-13,10:29:00,314947,8016.57363013699
2024-06-13,10:29:20,314967,7337.9014084507
2024-06-13,10:29:40,314987,7853.5661641541
2024-06-13,10:30:00,315007,7579.13548387098
2024-06-13,10:30:20,315027,7449.47551342812
2024-06-13,10:30:40,315047,7313.67131782945
2024-06-13,10:31:00,315067,7689.56888168558
2024-06-13,10:31:20,315087,7987.92087542087
2024-06-13,10:31:40,315107,7673.90776699029
2024-06-13,10:32:00,315127,8244.09913043479
2024-06-13,10:32:20,315147,7931.98494983278
2024-06-13,10:32:40,315167,7814.31301482702
2024-06-13,10:33:00,315187,8120.26506024096
2024-06-13,10:33:20,315207,7630.07269789984
2024-06-13,10:33:40,315227,8594.59198542806
2024-06-13,10:34:00,315247,7950.7744107744
2024-06-13,10:34:20,315267,8318.2323943662
2024-06-13,10:34:40,315287,7598.69131832798
2024-06-13,10:35:00,315307,7634.85460420032
2024-06-13,10:35:20,315327,7751.50163934426
2024-06-13,10:35:40,315347,7112.12330827068
2024-06-13,10:36:00,315367,7315.3104524181
2024-06-13,10:36:20,315387,7624.65224358975
2024-06-13,10:36:40,315407,8169.13402061856
2024-06-13,10:37:00,315427,7871.80865224626
2024-06-13,10:37:20,315447,7585.82371794872
2024-06-13,10:37:40,315467,8090.68547008547
2024-06-13,10:38:00,315487,8186.82006920416
2024-06-13,10:38:20,315507,8499.74506283662
2024-06-13,10:38:40,315527,8527.10810810812
2024-06-13,10:39:00,315547,8164.00511945392
2024-06-13,10:39:20,315567,7818.97222222222
2024-06-13,10:39:40,315587,8744.54844606948
2024-06-13,10:40:00,315607,7794.15798045602
2024-06-13,10:40:20,315627,8049.32268907564
2024-06-13,10:40:40,315647,8341.75261324042
2024-06-13,10:41:00,315667,7947.239460371
2024-06-13,10:41:20,315687,7608.64032258064
2024-06-13,10:41:40,315707,8100.19415807561
2024-06-13,10:42:00,315727,7940.94807370185
2024-06-13,10:42:20,315747,7705.1734197731
2024-06-13,10:42:40,315767,8036.31810490694
2024-06-13,10:43:00,315787,8926.06367041198
2024-06-13,10:43:20,315807,6834.27181688125
2024-06-13,10:43:40,315827,7508.98086124402
2024-06-13,10:44:00,315847,8803.92804428044
2024-06-13,10:44:20,315867,7050.84218289085
2024-06-13,10:44:40,315887,8029.99159663866
2024-06-13,10:45:00,315907,8236.53379549392
2024-06-13,10:45:20,315927,6849.32997118155
2024-06-13,10:45:40,315947,8167.17869415808
2024-06-13,10:46:00,315967,8055.63898305086
2024-06-13,10:46:20,315987,7800.04590163935
2024-06-13,10:46:40,316007,7218.60394537177
2024-06-13,10:47:00,316027,8237.31724137931
2024-06-13,10:47:20,316047,8366.82486865149
2024-06-13,10:47:40,316067,8137.60477001703
2024-06-13,10:48:00,316087,7263.69300911855
2024-06-13,10:48:20,316107,7759.75649350649
2024-06-13,10:48:40,316127,8525.22499999999
2024-06-13,10:49:00,316147,8470.50445632799
2024-06-13,10:49:20,316167,7718.30844155844
2024-06-13,10:49:40,316187,8439.37122557726
2024-06-13,10:50:00,316207,7605.54807692308
2024-06-13,10:50:20,316227,7439.97026604068
2024-06-13,10:50:40,316247,8112.72478632479
2024-06-13,10:51:00,316267,9630.78861788618
2024-06-13,10:51:20,316287,7877.92358803986
2024-06-13,10:51:40,316307,7877.47840531562
2024-06-13,10:52:00,316327,8912.10714285714
2024-06-13,10:52:20,316347,7789.08866995074
2024-06-13,10:52:40,316367,8272.80453752182
2024-06-13,10:53:00,316387,8892.42350746269
2024-06-13,10:53:20,316407,7974.82608695652
2024-06-13,10:53:40,316427,7964.32053422371
2024-06-13,10:54:00,316447,7962.72147651006
2024-06-13,10:54:20,316467,7963.61577181208
2024-06-13,10:54:40,316487,8337.41124780316
2024-06-13,10:55:00,316507,8355.49823943663
2024-06-13,10:55:20,316527,7297.21658986175
2024-06-13,10:55:40,316547,8344.44463971881
