"hour_pacific","Max","Average"
01:06:40,660080,52593.2857142857
01:07:00,660100,52234.9358974359
01:07:20,660120,55071.5135135135
01:07:40,660140,52928.987012987
01:08:00,660160,53297.2894736842
01:08:20,660180,48818.3253012048
01:08:40,660200,50020.1728395062
01:09:00,660220,50331.0864197531
01:09:20,660240,52949.4675324675
01:09:40,660260,55856.1506849315
01:10:00,660280,57084.014084507
01:10:20,660300,54050.6
01:10:40,660320,52654.5974025974
01:11:00,660340,55542.4246575343
01:11:20,660360,54798.3108108108
01:11:40,660380,61442.1515151515
01:12:00,660400,56685.3472222222
01:12:20,660420,55907.6575342466
01:12:40,660440,56693.5972222222
01:13:00,660460,55577.4520547946
01:13:20,660480,50726.3375
01:13:40,660500,55597.4109589041
01:14:00,660520,55945.2739726027
01:14:20,660540,53050.7142857143
01:14:40,660560,66962.1147540984
01:15:00,660580,55616.6164383562
01:15:20,660600,57185.7323943662
01:15:40,660620,55627.8493150685
01:16:00,660640,55231.3378378378
01:16:20,660660,57573.0563380282
01:16:40,660680,57578.5352112676
01:17:00,660700,54174.1333333333
01:17:20,660720,58889.7391304348
01:17:40,660740,57233.338028169
01:18:00,660760,60133.6176470588
01:18:20,660780,57606.7183098592
01:18:40,660800,56811.8194444444
01:19:00,660820,59778.4558823529
01:19:20,660840,58924.7536231884
01:19:40,660860,62548.2923076923
01:20:00,660880,60174.8823529412
01:20:20,660900,56842.9861111111
01:20:40,660920,60194.9411764706
01:21:00,660940,63556.671875
01:21:20,660960,63572.1875
01:21:40,660980,64585.9841269841
01:22:00,661000,62988.9846153846
01:22:20,661020,65003.6984126984
01:22:40,661040,59353.9420289855
01:23:00,661060,64609.2698412698
01:23:20,661080,62632.5076923077
01:23:40,661100,64621.8095238095
01:24:00,661120,53913.8815789474
01:24:20,661140,64031.421875
01:24:40,661160,61167.3880597015
01:25:00,661180,62658.9538461538
01:25:20,661200,60801.5970149254
01:25:40,661220,62670.7846153846
01:26:00,661240,67202.2786885246
01:26:20,661260,57751.1267605634
01:26:40,661280,61199.447761194
01:27:00,661300,60828.1492537313
01:27:20,661320,59078.8115942029
01:27:40,661340,59089.2608695652
01:28:00,661360,63119.3692307692
01:28:20,661380,61248.6865671642
01:28:40,661400,61248.6268656717
01:29:00,661420,60878.6567164179
01:29:20,661440,59127.8260869565
01:29:40,661460,59130.7536231884
01:30:00,661480,58660.4571428571
01:30:20,661500,57044.0555555555
01:30:40,661520,56268.698630137
01:31:00,661540,61854.5303030303
01:31:20,661560,60048.6176470588
01:31:40,661580,63807.53125
01:32:00,661600,63223.8923076923
01:32:20,661620,59570.3623188405
01:32:40,661640,59581.4637681159
01:33:00,661660,59207.9275362319
01:33:20,661680,58364.2571428571
01:33:40,661700,60987.2686567164
01:34:00,661720,57115.875
01:34:20,661740,61388.8059701492
01:34:40,661760,61388.6865671642
01:35:00,661780,60116.8529411765
01:35:20,661800,66466.0491803279
01:35:40,661820,60123.6176470589
01:36:00,661840,61405.0149253731
01:36:20,661860,57958.7183098592
01:36:40,661880,60520.7941176471
01:37:00,661900,60147.3529411765
01:37:20,661920,62934.0153846154
01:37:40,661940,62938.723076923
01:38:00,661960,59665.1304347826
01:38:20,661980,62003.5909090909
01:38:40,662000,61080.1791044776
01:39:00,662020,61084.0895522388
01:39:20,662040,55302.2
01:39:40,662060,63967.84375
01:40:00,662080,63388.0615384616
01:40:20,662100,63398.7076923077
01:40:40,662120,62433.7575757576
01:41:00,662140,63994.140625
01:41:20,662160,64005.671875
01:41:40,662180,67153.3770491803
01:42:00,662200,65429.6984126984
01:42:20,662220,64411.125
01:42:40,662240,66501.3387096774
01:43:00,662260,65044.9523809524
01:43:20,662280,64037.796875
01:43:40,662300,63057.7230769231
01:44:00,662320,60661.1617647059
01:44:20,662340,65485.8888888889
01:44:40,662360,64467
01:45:00,662380,65087.7142857143
01:45:20,662400,63095.9692307692
01:45:40,662420,66157.0967741936
01:46:00,662440,67663.5901639344
01:46:20,662460,65525.9206349206
01:46:40,662480,68810.3166666667
01:47:00,662500,70755.1551724138
01:47:20,662520,70769.8620689655
01:47:40,662540,70772.5
01:48:00,662560,75099.6
01:48:20,662580,68854.3333333333
01:48:40,662600,68858.7833333333
01:49:00,662620,72041.9122807018
01:49:20,662640,70806.1034482759
01:49:40,662660,66241.3548387097
01:50:00,662680,68886
01:50:20,662700,67770.2131147541
01:50:40,662720,66680.0322580645
01:51:00,662740,69649.7627118644
01:51:20,499408,60834
01:51:40,662780,72104.5614035088
01:52:00,662800,76590.4444444445
01:52:20,662820,71320.8793103448
01:52:40,662840,71335.275862069
01:53:00,662860,70908.3103448276
01:53:20,662880,70919.1724137931
01:53:40,662900,70916.9482758621
01:54:00,662920,67857
01:54:20,662940,70168.5423728814
01:54:40,662960,66784.3387096774
01:55:00,662980,68594.9666666667
01:55:20,663000,69770.5423728813
01:55:40,663020,69770.2033898305
01:56:00,663040,66813.7903225807
01:56:20,663060,61730.5254237288
01:56:40,663080,67906.9836065574
01:57:00,663100,73526.2857142857
01:57:20,663120,72245.8596491228
01:57:40,663140,72253.1052631579
01:58:00,663160,71445.7586206896
01:58:20,663180,69066.7
01:58:40,663200,70246.3050847457
01:59:00,663220,71029.6206896552
01:59:20,663240,71035.8275862069
01:59:40,663260,74912.1090909091
02:00:00,663280,74037.8035714286
02:00:20,663300,72752.0526315789
02:00:40,663320,72761.0526315789
02:01:00,663340,70299.2542372881
02:01:20,663360,74080.2142857143
02:01:40,663380,72784.7192982456
02:02:00,663400,72347.298245614
02:02:20,663420,72353.4385964912
02:02:40,663440,71119.1034482759
02:03:00,663460,75001.5818181818
02:03:20,663480,72378.3333333333
02:03:40,663500,75025.2181818182
02:04:00,663520,73694.5535714286
02:04:20,663540,73705.6607142857
02:04:40,663560,71170.9827586207
02:05:00,663580,72429.7719298246
02:05:20,663600,69985.4745762712
02:05:40,663620,73736.1071428571
02:06:00,663640,79415
02:06:20,663660,71211.0517241379
02:06:40,663680,73764.25
02:07:00,663700,73774.8928571429
02:07:20,663720,71242.7931034483
02:07:40,663740,71257.3448275862
02:08:00,663760,73807.6071428571
02:08:20,663780,73817.2678571429
02:08:40,663800,73816.1428571429
02:09:00,663820,75165.6363636363
02:09:20,663840,73830.6785714286
02:09:40,663860,73838.1785714286
02:10:00,663880,76584.8888888889
02:10:20,663900,73853.125
02:10:40,663920,73864.3214285714
02:11:00,663940,73870.7321428571
02:11:20,663960,75226.2545454545
02:11:40,663980,73895.3392857143
02:12:00,664000,79576.1153846153
02:12:20,664020,75243.5636363636
02:12:40,664040,72612.1578947368
02:13:00,664060,75260.1090909091
02:13:20,664080,75272
02:13:40,664100,75282.8
02:14:00,664120,70188.5593220339
02:14:20,664140,75296.6363636364
02:14:40,664160,75303.7090909091
02:15:00,664180,75313.5272727273
02:15:20,664200,75322.6727272727
02:15:40,664220,73989.0535714286
02:16:00,664240,75346.4181818182
02:16:20,664260,82893.44
02:16:40,664280,75368.7636363636
02:17:00,664300,76763.6666666667
02:17:20,664320,76770.2222222222
02:17:40,664340,78224.3962264151
02:18:00,664360,79738.1730769231
02:18:20,664380,79737.5
02:18:40,664400,81312.1372549019
02:19:00,664420,79762.3076923077
02:19:20,664440,76822.0185185185
02:19:40,664460,78279.5283018868
02:20:00,664480,81358.6862745098
02:20:20,664500,77853.2830188679
02:20:40,664520,81368.5490196079
02:21:00,664540,81366.9803921569
02:21:20,664560,81379.5098039216
02:21:40,664580,83016.76
02:22:00,664600,81402
02:22:20,664620,79849.9423076923
02:22:40,664640,79851.0384615385
02:23:00,664660,81423.0588235294
02:23:20,664680,78362.6037735849
02:23:40,664700,83065.44
02:24:00,664720,76921.3333333333
02:24:20,664740,78380.5283018868
02:24:40,664760,78389.5471698113
02:25:00,664780,76952.4814814815
02:25:20,664800,78418.1509433962
02:25:40,664820,78430.0188679245
02:26:00,664840,79941.9038461539
02:26:20,664860,79956.8269230769
02:26:40,664880,79964.3846153846
02:27:00,664900,81542.3725490196
02:27:20,664920,81548.0196078431
02:27:40,664940,84886.2244897959
02:28:00,664960,83202.46
02:28:20,664980,81578.5686274509
02:28:40,665000,81591.9411764706
02:29:00,665020,81603.7254901961
02:29:20,665040,81617.3137254902
02:29:40,665060,81626.2156862745
02:30:00,665080,81635.2156862745
02:30:20,665100,81643.0588235294
02:30:40,665120,77121.5
02:31:00,665140,83302.94
02:31:20,665160,75743.9636363637
02:31:40,665180,80116.5384615385
02:32:00,665200,81688.7647058823
02:32:20,665220,78616.5471698113
02:32:40,665240,83316.22
02:33:00,665260,83324.76
02:33:20,665280,74401.8392857143
02:33:40,665300,80139.3461538462
