"organization_name","gtfs_dataset_name","valid_from","valid_to"
"Metropolitan Transportation Commission","Bay Area 511 SFO AirTrain VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 SamTrans VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 San Francisco Bay Ferry VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 San Joaquins VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Santa Clara Transit VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Santa Rosa CityBus VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 SolTrans VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Sonoma County Transit Vehicle Positions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Sonoma-Marin Area Rail Transit VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 South San Francisco Shuttle VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Tideline VehiclePositions Historic",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Treasure Island Ferry VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Tri Delta VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Tri-Valley Wheels VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Union City Transit VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Vacaville City Coach VehiclePositions",2023-11-08,2024-07-10 23:59:59
"Metropolitan Transportation Commission","Bay Area 511 Vine Transit VehiclePositions",2023-11-08,2024-07-10 23:59:59
